"ID","google_id","dept","XDIndicator"
526,"7anf7aEAAAAJ","CS","CS"
527,"7AUq6CUAAAAJ","BIO","XD"
528,"7BM1uyYAAAAJ","CS","XD"
529,"7btxQB0AAAAJ","CS","CS"
530,"7BVA7tsAAAAJ","BIO","BIO"
531,"7BYgbUEAAAAJ","BIO","BIO"
532,"7b_ipvgAAAAJ","CS","CS"
533,"7cys8kgAAAAJ","BIO","XD"
534,"7e3e1HUAAAAJ","BIO","BIO"
535,"7EBqXaIAAAAJ","BIO","XD"
536,"7eC3KMkAAAAJ","CS","XD"
537,"7egtxu0AAAAJ","CS","XD"
538,"7FXtL98AAAAJ","CS","CS"
539,"7g-uOHkAAAAJ","BIO","BIO"
540,"7gEOGwcAAAAJ","BIO","BIO"
541,"7iQEFwIAAAAJ","BIO","XD"
542,"7iUPeUQAAAAJ","BIO","BIO"
543,"7iV1PPYAAAAJ","BIO","XD"
544,"7iy44V4AAAAJ","BIO","BIO"
545,"7j3itaMAAAAJ","CS","CS"
546,"7jNkTbYAAAAJ","CS","CS"
547,"7K34d7cAAAAJ","CS","XD"
548,"7kDEN7kAAAAJ","BIO","XD"
549,"7KqndP4AAAAJ","BIO","XD"
550,"7lVfIWYAAAAJ","CS","CS"
551,"7MfZxCEAAAAJ","BIO","BIO"
552,"7MOW-j4AAAAJ","CS","CS"
553,"7nERaWEAAAAJ","CS","CS"
554,"7NhhkR8AAAAJ","CS","XD"
555,"7oJoP0IAAAAJ","CS","CS"
556,"7OvZhQIAAAAJ","CS","CS"
557,"7P3t1woAAAAJ","BIO","XD"
558,"7p61OCsAAAAJ","BIO","XD"
559,"7PeekG0AAAAJ","BIO","XD"
560,"7QF1eF4AAAAJ","CS","CS"
561,"7QmEsOwAAAAJ","CS","CS"
562,"7QTGa98AAAAJ","CS","CS"
563,"7Sa6XgEAAAAJ","BIO","BIO"
564,"7SdcAiEAAAAJ","CS","CS"
565,"7t7dPnwAAAAJ","BIO","BIO"
566,"7VeXVsYAAAAJ","BIO","BIO"
